afrobeat
alt-rock
ambient
bluegrass
blues
classical
club
country
death-metal
disco
drum-and-bass
dubstep
electronic
folk
funk
gospel
grunge
hip-hop
idm
indie
industrial
j-pop
jazz
k-pop
latin
metal
opera
pop
psych-rock
punk
r-n-b
reggae
rock
soundtracks
synth-pop
